x	c0	c1	c2	cf
0.07	1	0.92064	0.51996	0.2
0.08	1	0.91994	0.5198	0.2
0.09	1	0.91916	0.51961	0.2
0.1	1	0.91828	0.5194	0.2
0.11	1	0.91731	0.51917	0.2
0.12	1	0.91625	0.51892	0.2
0.13	1	0.91509	0.51865	0.2
0.14	1	0.91384	0.51835	0.2
0.15	1	0.9125	0.51803	0.2
0.16	1	0.91107	0.5177	0.2
0.17	1	0.90954	0.51733	0.2
0.18	1	0.90792	0.51695	0.2
0.19	1	0.90621	0.51655	0.2
0.2	1	0.9044	0.51612	0.2
0.21	1	0.90251	0.51568	0.2
0.22	1	0.90052	0.51521	0.2
0.23	1	0.89843	0.51472	0.2
0.24	1	0.89626	0.51421	0.2
0.25	1	0.89399	0.51368	0.2
0.26	1	0.89163	0.51313	0.2
0.27	1	0.88917	0.51255	0.2
0.28	1	0.88663	0.51196	0.2
0.29	1	0.88399	0.51134	0.2
0.3	1	0.88126	0.51071	0.2
0.31	1	0.87844	0.51005	0.2
0.32	1	0.87552	0.50937	0.2
0.33	1	0.87252	0.50867	0.2
0.34	1	0.86942	0.50795	0.2
0.35	1	0.86623	0.50721	0.2
0.36	1	0.86295	0.50645	0.2
0.37	1	0.85957	0.50567	0.2
0.38	1	0.85611	0.50487	0.2
0.39	1	0.85256	0.50405	0.2
0.4	1	0.84891	0.50321	0.2
0.41	1	0.84518	0.50235	0.2
0.42	1	0.84136	0.50147	0.2
0.43	1	0.83745	0.50058	0.2
0.44	1	0.83345	0.49966	0.2
0.45	1	0.82936	0.49872	0.2
0.46	1	0.82518	0.49776	0.2
0.47	1	0.82092	0.49678	0.2
0.48	1	0.81657	0.49579	0.2
0.49	1	0.81214	0.49477	0.2
0.5	1	0.80762	0.49374	0.2
0.51	1	0.80301	0.49269	0.2
0.52	1	0.79832	0.49162	0.2
0.53	1	0.79355	0.49053	0.2
0.54	1	0.7887	0.48942	0.2
0.55	1	0.78377	0.4883	0.2
0.56	1	0.77875	0.48715	0.2
0.57	1	0.77366	0.48599	0.2
0.58	1	0.76849	0.48481	0.2
0.59	1	0.76324	0.48362	0.2
0.6	1	0.75791	0.4824	0.2
0.61	1	0.75251	0.48117	0.2
0.62	1	0.74704	0.47992	0.2
0.63	1	0.74149	0.47866	0.2
0.64	1	0.73587	0.47737	0.2
0.65	1	0.73018	0.47607	0.2
0.66	1	0.72442	0.47476	0.2
0.67	1	0.7186	0.47343	0.2
0.68	1	0.71271	0.47208	0.2
0.69	1	0.70675	0.47071	0.2
0.7	1	0.70073	0.46933	0.2
0.71	1	0.69465	0.46794	0.2
0.72	1	0.68851	0.46652	0.2
0.73	1	0.68231	0.4651	0.2
0.74	1	0.67606	0.46365	0.2
0.75	1	0.66975	0.4622	0.2
0.76	1	0.66338	0.46072	0.2
0.77	1	0.65697	0.45924	0.2
0.78	1	0.6505	0.45773	0.2
0.79	1	0.64399	0.45622	0.2
0.8	1	0.63743	0.45469	0.2
0.81	1	0.63083	0.45314	0.2
0.82	1	0.62419	0.45158	0.2
0.83	1	0.6175	0.45001	0.2
0.84	1	0.61078	0.44842	0.2
0.85	1	0.60402	0.44682	0.2
0.86	1	0.59723	0.44521	0.2
0.87	1	0.59041	0.44358	0.2
0.88	1	0.58355	0.44195	0.2
0.89	1	0.57667	0.4403	0.2
0.9	1	0.56977	0.43863	0.2
0.91	1	0.56284	0.43696	0.2
0.92	1	0.55589	0.43527	0.2
0.93	1	0.54892	0.43357	0.2
0.94	1	0.54193	0.43186	0.2
0.95	1	0.53493	0.43013	0.2
0.96	1	0.52792	0.4284	0.2
0.97	1	0.5209	0.42665	0.2
0.98	1	0.51387	0.4249	0.2
0.99	1	0.50683	0.42313	0.2
1	1	0.4998	0.42135	0.2
1.01	0	0.49276	0.41956	0.2
1.02	0	0.48572	0.41776	0.2
1.03	0	0.47869	0.41596	0.2
1.04	0	0.47166	0.41414	0.2
1.05	0	0.46464	0.41231	0.2
1.06	0	0.45763	0.41047	0.2
1.07	0	0.45063	0.40862	0.2
1.08	0	0.44365	0.40677	0.2
1.09	0	0.43669	0.40491	0.2
1.1	0	0.42974	0.40303	0.2
1.11	0	0.42281	0.40115	0.2
1.12	0	0.41591	0.39926	0.2
1.13	0	0.40904	0.39736	0.2
1.14	0	0.40219	0.39546	0.2
1.15	0	0.39537	0.39354	0.2
1.16	0	0.38858	0.39162	0.2
1.17	0	0.38183	0.3897	0.2
1.18	0	0.37511	0.38776	0.2
1.19	0	0.36843	0.38582	0.2
1.2	0	0.36179	0.38387	0.2
1.21	0	0.35519	0.38192	0.2
1.22	0	0.34863	0.37996	0.2
1.23	0	0.34212	0.37799	0.2
1.24	0	0.33565	0.37601	0.2
1.25	0	0.32923	0.37404	0.2
1.26	0	0.32286	0.37205	0.2
1.27	0	0.31655	0.37006	0.2
1.28	0	0.31028	0.36807	0.2
1.29	0	0.30407	0.36607	0.2
1.3	0	0.29792	0.36406	0.2
1.31	0	0.29182	0.36206	0.2
1.32	0	0.28578	0.36004	0.2
1.33	0	0.27981	0.35803	0.2
1.34	0	0.27389	0.356	0.2
1.35	0	0.26803	0.35398	0.2
1.36	0	0.26224	0.35195	0.2
1.37	0	0.25652	0.34992	0.2
1.38	0	0.25086	0.34788	0.2
